"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Area total","num Area rptg","over votes","under votes"
1,"United States Representative District 1 (Vote For 1)","Rod Blum","REP",153442,45.91,506399,294524,20,20,"0","0"
2,"United States Representative District 1 (Vote For 1)","Abby Finkenauer","DEM",170342,50.96,506399,294524,20,20,"0","0"
3,"United States Representative District 1 (Vote For 1)","Troy Hageman","LIB",10285,3.08,506399,294524,20,20,"0","0"
4,"United States Representative District 1 (Vote For 1)","Write-in","",174,0.05,506399,294524,20,20,"0","0"
5,"United States Representative District 2 (Vote For 1)","Christopher Peters","REP",133287,42.60,431107,318271,24,24,"0","0"
6,"United States Representative District 2 (Vote For 1)","Dave Loebsack","DEM",171446,54.79,431107,318271,24,24,"0","0"
7,"United States Representative District 2 (Vote For 1)","Mark David Strauss","LIB",6181,1.98,431107,318271,24,24,"0","0"
8,"United States Representative District 2 (Vote For 1)","Daniel Clark","",1837,0.59,431107,318271,24,24,"0","0"
9,"United States Representative District 2 (Vote For 1)","Write-in","",162,0.05,431107,318271,24,24,"0","0"
10,"United States Representative District 3 (Vote For 1)","David Young","REP",167933,47.14,478450,360604,16,16,"0","0"
11,"United States Representative District 3 (Vote For 1)","Cindy Axne","DEM",175642,49.30,478450,360604,16,16,"0","0"
12,"United States Representative District 3 (Vote For 1)","Bryan Jack Holder","LIB",7267,2.04,478450,360604,16,16,"0","0"
13,"United States Representative District 3 (Vote For 1)","Paul Knupp","GRN",1888,0.53,478450,360604,16,16,"0","0"
14,"United States Representative District 3 (Vote For 1)","Mark Elworth Jr.","LMN",2015,0.57,478450,360604,16,16,"0","0"
15,"United States Representative District 3 (Vote For 1)","Joe Grandanette","",1301,0.37,478450,360604,16,16,"0","0"
16,"United States Representative District 3 (Vote For 1)","Write-in","",195,0.05,478450,360604,16,16,"0","0"
17,"United States Representative District 4 (Vote For 1)","Steve King","REP",157676,50.34,429674,317785,39,39,"0","0"
18,"United States Representative District 4 (Vote For 1)","J.D. Scholten","DEM",147246,47.01,429674,317785,39,39,"0","0"
19,"United States Representative District 4 (Vote For 1)","Charles Aldrich","LIB",6161,1.97,429674,317785,39,39,"0","0"
20,"United States Representative District 4 (Vote For 1)","Edward Peterson","",1962,0.63,429674,317785,39,39,"0","0"
21,"United States Representative District 4 (Vote For 1)","Write-in","",206,0.07,429674,317785,39,39,"0","0"
